BitValue X,BitValue Y
7.088928905979224e-06,8.000000052689726
1.000000000000003e-05,8.000000052687332
1.039261506919131e-05,8.000000052687531
1.11175081299293e-05,8.000000052687479
1.171503019500952e-05,8.000000052687076
1.291007432516996e-05,8.000000052685911
1.372808455849474e-05,8.000000052686817
1.448846471713493e-05,8.000000052684671
1.497476637707277e-05,8.000000052686683
1.517357799637272e-05,8.000000052684534
1.525136584085515e-05,8.000000052686625
1.540694152982002e-05,8.000000052685618
1.544273978276373e-05,8.000000052686728
1.551433628865114e-05,8.000000052689117
1.557463462185502e-05,8.000000052686877
1.563116358910375e-05,8.000000052686946
1.564139807414303e-05,8.000000052686604
1.564651531666267e-05,8.00000005268441
1.565161525796282e-05,8.000000052686598
1.56535036456896e-05,8.00000005268817
1.565666487000251e-05,8.000000052686916
1.565743629250034e-05,8.000000052687311
1.565854749664708e-05,8.000000052686943
1.566030043374909e-05,8.000000052686788
1.566125292333419e-05,8.000000052686792
1.566172916812674e-05,8.00000005269354
1.566265404402198e-05,8.000000052680372
1.566287410972137e-05,8.000000053144356
1.56630712427579e-05,8.000000052410952
1.566324488447221e-05,8.000000054543948
1.566338779406857e-05,8.00000005085451
1.5663548403203e-05,7.999999984276808
1.566358570190633e-05,7.999999834099222
1.566366029931301e-05,7.999999187006845
1.566368008408602e-05,7.99999829055584
1.566371343612971e-05,7.99999689511196
1.566374433577374e-05,8.00000021550532
1.566378651880005e-05,8.000058200973809
1.566380252371037e-05,8.00012124690927
1.566382534608259e-05,8.000226115528848
1.56638350952177e-05,8.000266096800008
1.566384851098716e-05,8.000302014998805
1.566386723385372e-05,8.000171752030354
1.566388311898951e-05,7.99976718331398
1.566389722118882e-05,7.999164427815009
1.566391539381346e-05,7.998061203899564
1.566392790308409e-05,7.997026775635742
1.566394703840706e-05,7.995373856854573
1.566395753315024e-05,7.994534184935572
1.566397096986684e-05,7.993557450821997
1.566398475312495e-05,7.992715947552148
1.566399728612638e-05,7.992089768165319
1.5664005675397e-05,7.991739572155565
1.56640172971343e-05,7.991173126312434
1.566402621197687e-05,7.990747461102091
1.566403759142816e-05,7.990506003962872
1.566404597846241e-05,7.990650899036377
1.566405577049529e-05,7.991315172020084
1.566406094419725e-05,7.991899377922197
1.566406825327511e-05,7.992866766133691
1.5664074166479e-05,7.993627708583357
1.566408064702833e-05,7.994179368182419
1.56640863382073e-05,7.994222666198333
1.566409259616008e-05,7.993330011770873
1.566409667129475e-05,7.992158811752654
1.566410151251665e-05,7.990467029620631
1.566410638852028e-05,7.988721287723332
1.566411266797036e-05,7.986624130637273
1.566411841750768e-05,7.985066953077876
1.566412542079661e-05,7.983666234166246
1.566413280561228e-05,7.982757808169353
1.566414043396025e-05,7.982337324671371
1.566414866558631e-05,7.982231197165516
1.566415699501584e-05,7.982416749508366
1.566416519060403e-05,7.982820643376107
1.566417475930677e-05,7.983525872867155
1.566418284223334e-05,7.984486403865447
1.566419031469493e-05,7.985986114162487
1.56641962779665e-05,7.988114650646284
1.566420749851962e-05,7.996002281076287
1.566421396432227e-05,8.004027437825215
1.566422428231592e-05,8.023345166499718
1.566423524228884e-05,8.054662017139663
1.566424905215373e-05,8.110996619279714
1.566426502491533e-05,8.21361968385717
1.566428044954553e-05,8.351111689924528
1.566429782548963e-05,8.519086925193827
1.566431299382157e-05,8.639841915129264
1.56643236067171e-05,8.707708235835785
1.566432951142815e-05,8.729727796331488
1.56643344344094e-05,8.731545203495319
1.566433976356798e-05,8.72231501914168
1.566434459417365e-05,8.708164365325905
