/net010 X,/net010 Y
1.430474248126077e-05,1.02514635337305
1.507497443242991e-05,0.8865046021626353
1.527134131787536e-05,0.8511585627824508
1.533790853219045e-05,0.8391764642057175
1.5371192139348e-05,0.8331854149173704
1.54377593536631e-05,0.8212033163406368
1.546333005354814e-05,0.8166005903613391
1.550744280502135e-05,0.8086602950961757
1.556996576620461e-05,0.7974061620831701
1.561499256987537e-05,0.78930133742243
1.562818813698363e-05,0.7869261353429582
1.564639869599256e-05,0.7836482347213598
1.565042259470025e-05,0.7829239329539686
1.565625235136214e-05,0.7818745767548079
1.565818685110616e-05,0.7815263668008898
1.56597939305035e-05,0.7812370925093772
1.566161281290908e-05,0.780909693676372
1.566203917485333e-05,0.7808329485264103
1.566289189874183e-05,0.7806794582264871
1.566304828734891e-05,0.7806513082772013
1.566323004280345e-05,0.7806185922954028
1.566339416405888e-05,0.7805890504693862
1.566355681143069e-05,0.7805597739424801
1.566358682903041e-05,0.7805543707745282
1.566364686422984e-05,0.7805435644386238
1.566366703690105e-05,0.7805399333577974
1.566370056127216e-05,0.780533898971018
1.566372839361142e-05,0.7805288891499444
1.56637405142794e-05,0.7805267074297102
1.566375687069066e-05,0.7805237632756878
1.566378723470012e-05,0.7805182977539808
1.566380798899394e-05,0.7805145619810789
1.56638292103929e-05,0.7805107421293003
1.566384135286276e-05,0.7805085564847054
1.566385558089955e-05,0.7805059954380962
1.566387009686693e-05,0.7805033825639605
1.566388546787295e-05,0.7805006157828591
1.566390170715277e-05,0.7804976927125189
1.566391948335735e-05,0.7804944929956992
1.566393223479755e-05,0.780492197736443
1.566394779810835e-05,0.780489396340492
1.56639616285243e-05,0.7804869068656157
1.566397562025109e-05,0.7804843883548251
1.566398367597214e-05,0.7804829383250023
1.566399482374273e-05,0.7804809317263259
1.566400273783873e-05,0.7804795071890411
1.566401466486342e-05,0.7804773603245971
1.566402345394194e-05,0.7804757782904448
1.566403517148822e-05,0.7804736691321281
1.566404364824392e-05,0.7804721433160922
1.566405349206529e-05,0.7804703714282604
1.566405897948061e-05,0.7804693836934835
1.56640658402982e-05,0.7804681487463392
1.566407164695997e-05,0.7804671035472164
1.566407857833249e-05,0.7804658559001527
1.566408377971214e-05,0.7804649196518083
1.566409030724869e-05,0.7804637446952309
1.566409452279223e-05,0.7804629858974017
1.566409958993073e-05,0.7804620738124628
1.566410423899535e-05,0.7804612369808432
1.56641105689814e-05,0.7804600975833607
1.566411627720599e-05,0.7804590701029162
1.566412326971386e-05,0.7804578114515299
1.566413053274589e-05,0.7804565041057356
1.566413843056363e-05,0.7804550824985679
1.566414602858232e-05,0.7804537148551864
1.566415444342002e-05,0.780452200184415
1.566416245780372e-05,0.7804507575953199
1.566417219832188e-05,0.7804490043020669
1.566418039877039e-05,0.780447528221325
1.566418800287568e-05,0.7804461594823746
1.566419397948916e-05,0.7804450836919412
1.566420348127703e-05,0.7804433733701355
1.56642101611298e-05,0.7804421709966221
1.566421986817528e-05,0.7804404237284717
1.566423040655289e-05,0.7804385268204892
1.566424379239759e-05,0.7804361173684373
1.566425905385559e-05,0.780433370306016
1.566427563517171e-05,0.7804303856691035
1.566429112049353e-05,0.7804275983111808
1.566430702229429e-05,0.7804247359870142
1.566431712800038e-05,0.7804229169599368
1.566432335578638e-05,0.7804217959584421
1.566432730466917e-05,0.7804210851595612
1.566433258132737e-05,0.7804201353610793
1.566433768286828e-05,0.780419217083711
1.566434393190558e-05,0.780418092256995
1.566434929087059e-05,0.7804171276432934
1.566435652082643e-05,0.7804158262512526
1.566436514690177e-05,0.7804142735576929
1.566437592444816e-05,0.7804123335993425
1.566439210117572e-05,0.7804094217883939
1.566440863595017e-05,0.7804064455289597
1.566441862749619e-05,0.7804046470506794
1.566442753816237e-05,0.780403043130792
1.566443544100035e-05,0.7804016206199327
1.566444569223946e-05,0.7803997753968959
1.566445467067596e-05,0.7803981592783289
1.56644691113423e-05,0.7803955599583898
1.566448647379939e-05,0.7803924347160982
1.56645135867986e-05,0.7803875543762551
1.566454220513985e-05,0.7803824030748385
1.566457274687544e-05,0.7803769055624323
1.566460167473167e-05,0.7803716985483156
1.566463522489017e-05,0.7803656595197803
1.566468102498607e-05,0.7803574155025146
1.5664739481849e-05,0.780346893267166
1.566483334292625e-05,0.7803299982732854
1.56649489241806e-05,0.78030919364749
1.566510665573581e-05,0.7802808019675453
1.566532306141081e-05,0.780241848946073
1.566558202754407e-05,0.7801952350420862
