/I0/net2 X,/I0/net2 Y
1.566379131184341e-05,1.800205074272843
1.566381252331905e-05,1.800418468228757
1.56638218685064e-05,1.800499850763777
1.566383638001446e-05,1.800585415759057
1.566384777572698e-05,1.800589568644442
1.566386660594638e-05,1.800544857121595
1.56638790785605e-05,1.800488702914568
1.566389541955635e-05,1.800059131661928
1.566390672762171e-05,1.799657201264202
1.566392162165423e-05,1.798960867664225
1.566393443017061e-05,1.798463238449002
1.566395401979438e-05,1.798048210856922
1.566396714474025e-05,1.798410703980663
1.566398301220738e-05,1.799552553938771
1.566399046036403e-05,1.799757076421499
1.566400089514097e-05,1.799884713228985
1.566400921148505e-05,1.80006760619724
1.56640198894662e-05,1.80023778453951
1.566402935421232e-05,1.800441088659656
1.566404029567932e-05,1.800648752666613
1.566404894159496e-05,1.800738041036602
1.566405530833829e-05,1.800749857699003
1.56640599226899e-05,1.800735472792844
1.566406758648061e-05,1.800674487230788
1.566407330489143e-05,1.80061016237404
1.56640803124443e-05,1.800522886542306
1.566408550692424e-05,1.800462644115577
1.566409199657861e-05,1.800404585967468
1.56640961981522e-05,1.800380825850692
1.566410129478443e-05,1.800359872952814
1.566410592844497e-05,1.800342094905581
1.566411225995088e-05,1.800313969848077
1.566411796410942e-05,1.800282709171451
1.56641249533383e-05,1.800239968691336
1.566413220774572e-05,1.800199345575259
1.566414009431711e-05,1.800164120556257
1.566414771018433e-05,1.800140824684233
1.566415612170764e-05,1.800126152705557
1.566416413944579e-05,1.800114021908996
1.566417387660604e-05,1.800093933228295
1.566418207510822e-05,1.800066040109085
1.566418967684485e-05,1.800028603371087
1.566419565328842e-05,1.799997481438288
1.56642051817797e-05,1.799959143779119
1.56642118653811e-05,1.799941189147056
1.566422158345495e-05,1.799926702537176
1.566423213099793e-05,1.799921085191961
1.566424552586759e-05,1.799924385483265
1.566426080244083e-05,1.799932944937
1.566427738977548e-05,1.799944514719694
1.566429287711842e-05,1.799955289426409
1.566430878015299e-05,1.799967318547959
1.566431888558325e-05,1.799974102538043
1.566432512451343e-05,1.79997806537435
1.566432907175487e-05,1.799980883022501
1.56643343456641e-05,1.799985094892656
1.566433946309319e-05,1.799988980222212
1.566434569817546e-05,1.799992994961388
1.566435106358767e-05,1.799995682640176
1.566435829190593e-05,1.799998124959078
1.566436693487671e-05,1.799999745334546
1.566437772927679e-05,1.800000323985214
1.566439390335018e-05,1.800000136142279
1.566441044420042e-05,1.799999371822432
1.566442038942486e-05,1.799998997199302
1.566442929893459e-05,1.799998732474895
1.566443719967097e-05,1.799998569909457
1.566444745536642e-05,1.799998446087093
1.56644564307064e-05,1.799998397761783
1.566447087539298e-05,1.79999840386543
1.566448823789308e-05,1.799998480955183
1.566451534744061e-05,1.799998672974527
1.566454396349671e-05,1.799998897256909
1.566457450465306e-05,1.799999138426632
1.566460343652818e-05,1.799999348638325
1.566463699204937e-05,1.799999553642618
1.566468280234771e-05,1.799999757985544
1.566474127476151e-05,1.799999898555761
1.566483515139208e-05,1.799999986169979
1.566495075636178e-05,1.799999993961997
1.566510853234803e-05,1.799999982582829
1.566532500989562e-05,1.799999963338712
1.566558385936897e-05,1.799999956939503
1.566590305516425e-05,1.799999959212049
1.566602157541792e-05,1.799999959541177
1.566612972301604e-05,1.799999959638714
1.566623005332107e-05,1.799999959512735
1.566632949281874e-05,1.799999959410176
1.56664003719646e-05,1.799999959401923
1.566648731735378e-05,1.799999959412079
1.566650638742583e-05,1.799999959418289
1.566654175345009e-05,1.799999959420277
1.566656874013497e-05,1.79999995941163
1.566661006346442e-05,1.799999959435525
1.566662350206744e-05,1.79999995946723
1.566663608675784e-05,1.799999959317469
1.566664383147172e-05,1.799999959265321
1.566665357683298e-05,1.799999959272486
1.566666797113696e-05,1.79999995933345
1.566668017542168e-05,1.799999959400984
1.566669397996744e-05,1.799999959452219
1.566671238521249e-05,1.799999959478068
1.566673478780213e-05,1.799999959471469
1.566676222463124e-05,1.799999959439999
1.566679636659132e-05,1.799999959410125
1.566683843218163e-05,1.799999959382647
1.566688237171146e-05,1.799999959380337
1.56669275789772e-05,1.7999999594001
1.566697669242104e-05,1.799999959416406
1.566705530024066e-05,1.799999959415407
1.566721251587988e-05,1.799999959408136
1.566747737048124e-05,1.799999959409678
1.566780486889813e-05,1.799999959410459
1.566827204235548e-05,1.799999959410133
1.566881475290241e-05,1.79999995941057
1.566969856237115e-05,1.799999959410716
1.567075112128745e-05,1.799999959410911
1.567173348022431e-05,1.79999995941082
1.56727575437592e-05,1.799999959410988
1.567393793762503e-05,1.799999959410803
1.567568130390149e-05,1.799999959411031
1.567715016762602e-05,1.799999959410881
1.567767193700212e-05,1.799999959411008
1.567871547575432e-05,1.799999959410927
1.567991855761681e-05,1.799999959410986
1.568102890165438e-05,1.799999959410971
1.568168679002395e-05,1.799999959410981
1.568266865249609e-05,1.799999959410979
1.568291736496495e-05,1.799999959410987
