/M2/D X,/M2/D Y
1.553217831838249e-05,4.754864555275323e-12
1.558530979942223e-05,4.754891937792438e-12
1.564102717778879e-05,4.754864556515225e-12
1.564827172481655e-05,4.754891937628856e-12
1.565189399833043e-05,4.75486455574538e-12
1.565399036183588e-05,4.754891938433805e-12
1.56550385435886e-05,4.754864560915231e-12
1.565713490709404e-05,4.754892035975358e-12
1.565919574426045e-05,4.754865396621306e-12
1.566051029198321e-05,4.754894793283157e-12
1.566116756584459e-05,4.754872104184552e-12
1.566243966131079e-05,4.754906016941861e-12
1.566272328440357e-05,4.754896009957374e-12
1.566297604021314e-05,4.754912912863681e-12
1.566314161671032e-05,4.754909223151152e-12
1.566330321567225e-05,4.75491867205295e-12
1.566345751054683e-05,4.754921248304684e-12
1.566350676240475e-05,4.754923058007963e-12
1.566360526612061e-05,4.754929185705364e-12
1.566363467101959e-05,4.754926438557208e-12
1.566366718832886e-05,4.754936649528352e-12
1.566369765237359e-05,4.754928985651121e-12
1.566372599607671e-05,4.754935956194713e-12
1.566374817385591e-05,4.754907631031514e-12
1.566377588709632e-05,4.754823241210485e-12
1.566379131184341e-05,4.754738007123522e-12
1.566381252331905e-05,4.754725274464989e-12
1.56638218685064e-05,4.754755997997255e-12
1.566383638001446e-05,4.754916546057584e-12
1.566384777572698e-05,4.755089553842553e-12
1.566386660594638e-05,4.756990999542574e-12
1.56638790785605e-05,4.759109197657712e-12
1.566389541955635e-05,4.760607724197342e-12
1.566390672762171e-05,4.760301598948819e-12
1.566392162165423e-05,4.759341444708862e-12
1.566393443017061e-05,4.757571829388014e-12
1.566395401979438e-05,4.754052202859995e-12
1.566396714474025e-05,4.750821050429175e-12
1.566398301220738e-05,4.746732464116044e-12
1.566399046036403e-05,4.747333901242187e-12
1.566400089514097e-05,4.749006425133429e-12
1.566400921148505e-05,4.750295091462178e-12
1.56640198894662e-05,4.752464399890351e-12
1.566402935421232e-05,4.753783415310355e-12
1.566404029567932e-05,4.756694529633187e-12
1.566404894159496e-05,4.75807920534557e-12
1.566405530833829e-05,4.764390929604542e-12
1.56640599226899e-05,4.764438180988805e-12
1.566406758648061e-05,4.762005042504793e-12
1.566407330489143e-05,4.759695385413344e-12
1.56640803124443e-05,4.745219062514894e-12
1.566408550692424e-05,4.735635745626725e-12
1.566409199657861e-05,4.705727650339477e-12
1.56640961981522e-05,4.687840753975066e-12
1.566410129478443e-05,4.6854763564217e-12
1.566410592844497e-05,4.682742274627857e-12
1.566411225995088e-05,4.689981964960383e-12
1.566411796410942e-05,4.699209446039579e-12
1.56641249533383e-05,4.71210599331425e-12
1.566413220774572e-05,4.724006610397919e-12
1.566414009431711e-05,4.734882276332863e-12
1.566414771018433e-05,4.742798739262638e-12
1.566415612170764e-05,4.749821978657634e-12
1.566416413944579e-05,4.755762010060467e-12
1.566417387660604e-05,4.763610743939035e-12
1.566418207510822e-05,4.77359679518398e-12
1.566418967684485e-05,4.791654193208004e-12
1.566419565328842e-05,4.813800072779307e-12
1.56642051817797e-05,4.866506889587971e-12
1.56642118653811e-05,4.923938959487478e-12
1.566422158345495e-05,5.019036966485873e-12
1.566423213099793e-05,5.133642994451601e-12
1.566424552586759e-05,5.271281269204608e-12
1.566426080244083e-05,5.519091046862236e-12
1.566427738977548e-05,5.862644081133535e-12
1.566429287711842e-05,5.796626253567287e-12
1.566430878015299e-05,5.180497203314508e-12
1.566431888558325e-05,5.145248924612652e-12
1.566432512451343e-05,4.932815550056881e-12
1.566432907175487e-05,4.569188281011817e-12
1.56643343456641e-05,4.062495885666702e-12
1.566433946309319e-05,3.893478934094667e-12
1.566434569817546e-05,3.834556711963656e-12
1.566435106358767e-05,3.789802315838424e-12
1.566435829190593e-05,3.82446187697112e-12
1.566436693487671e-05,3.883085646498363e-12
1.566437772927679e-05,3.963425791827242e-12
1.566439390335018e-05,4.087928936987487e-12
1.566441044420042e-05,4.205006164311408e-12
1.566442038942486e-05,4.271285406828559e-12
1.566442929893459e-05,4.323081794306257e-12
1.566443719967097e-05,4.366013248305891e-12
1.566444745536642e-05,4.416278252516439e-12
1.56644564307064e-05,4.457091063070123e-12
1.566447087539298e-05,4.517243487767087e-12
1.566448823789308e-05,4.580887813442876e-12
1.566451534744061e-05,4.66383504651493e-12
1.566454396349671e-05,4.728694508069641e-12
1.566457450465306e-05,4.775871518013951e-12
1.566460343652818e-05,4.803663011869255e-12
1.566463699204937e-05,4.820708356710413e-12
1.566468280234771e-05,4.829684891392681e-12
1.566474127476151e-05,4.825773597028451e-12
1.566483515139208e-05,4.809006445902221e-12
1.566495075636178e-05,4.784829753530867e-12
1.566510853234803e-05,4.764111798471603e-12
1.566532500989562e-05,4.753862121201576e-12
1.566558385936897e-05,4.75154693617942e-12
1.566590305516425e-05,4.754174783619592e-12
1.566602157541792e-05,4.75443077919502e-12
1.566612972301604e-05,4.754537578661275e-12
1.566623005332107e-05,4.754752316399224e-12
1.566632949281874e-05,4.754893701576656e-12
1.56664003719646e-05,4.754919852521619e-12
1.566648731735378e-05,4.754987770441944e-12
1.566650638742583e-05,4.754998495880692e-12
